year,month,week_number,day,full_date,quarter,day_of_week,is_weekend,date_key
2016,2,8,14,2016-02-14,1,7,1,4117
2016,2,8,15,2016-02-15,1,1,0,4128
2016,2,8,16,2016-02-16,1,2,0,4138
2016,2,8,17,2016-02-17,1,3,0,4140
2016,2,8,18,2016-02-18,1,4,0,4144
2016,2,8,19,2016-02-19,1,5,0,4145
2016,2,8,20,2016-02-20,1,6,1,4155
2016,2,9,21,2016-02-21,1,7,1,4164
2016,2,9,22,2016-02-22,1,1,0,4168
2016,2,9,23,2016-02-23,1,2,0,4174
2016,2,9,24,2016-02-24,1,3,0,4176
2016,2,9,25,2016-02-25,1,4,0,4179
2016,2,9,26,2016-02-26,1,5,0,4184
2016,2,9,27,2016-02-27,1,6,1,4226
2016,2,10,28,2016-02-28,1,7,1,4267
2016,2,10,29,2016-02-29,1,1,0,4273
2016,3,10,1,2016-03-01,1,2,0,4276
2016,3,10,2,2016-03-02,1,3,0,4289
2016,3,10,3,2016-03-03,1,4,0,4312
2016,3,10,4,2016-03-04,1,5,0,4315
2016,3,10,5,2016-03-05,1,6,1,4339
2016,3,11,7,2016-03-07,1,1,0,4354
2016,3,11,8,2016-03-08,1,2,0,4367
2016,3,11,9,2016-03-09,1,3,0,4372
2016,3,11,10,2016-03-10,1,4,0,4381
2016,3,11,11,2016-03-11,1,5,0,4384
2016,3,11,12,2016-03-12,1,6,1,4398
2016,3,12,13,2016-03-13,1,7,1,4407
2016,3,12,14,2016-03-14,1,1,0,4412
2016,3,12,15,2016-03-15,1,2,0,4419
2016,3,12,16,2016-03-16,1,3,0,4424
2016,3,12,17,2016-03-17,1,4,0,4429
2016,3,12,18,2016-03-18,1,5,0,4438
2016,3,12,19,2016-03-19,1,6,1,4450
2016,3,13,20,2016-03-20,1,7,1,4483
2016,3,13,21,2016-03-21,1,1,0,4499
2016,3,13,22,2016-03-22,1,2,0,4513
2016,3,13,23,2016-03-23,1,3,0,4524
2016,3,13,24,2016-03-24,1,4,0,4530
2016,3,13,25,2016-03-25,1,5,0,4654
2016,3,13,26,2016-03-26,1,6,1,4666
2016,3,14,27,2016-03-27,1,7,1,4671
2016,3,14,28,2016-03-28,1,1,0,4684
2016,3,14,29,2016-03-29,1,2,0,4712
2016,3,14,30,2016-03-30,1,3,0,4718
2016,3,14,31,2016-03-31,1,4,0,4737
2016,4,14,1,2016-04-01,2,5,0,4804
2016,4,14,2,2016-04-02,2,6,1,4811
2016,4,15,3,2016-04-03,2,7,1,4818
2016,4,15,4,2016-04-04,2,1,0,4824
2016,4,15,5,2016-04-05,2,2,0,4883
2016,4,15,6,2016-04-06,2,3,0,4889
2016,4,15,7,2016-04-07,2,4,0,4890
2016,4,15,8,2016-04-08,2,5,0,4911
2016,4,15,9,2016-04-09,2,6,1,4919
2016,4,16,10,2016-04-10,2,7,1,4942
2016,4,16,11,2016-04-11,2,1,0,4968
2016,4,16,12,2016-04-12,2,2,0,5005
2016,4,16,13,2016-04-13,2,3,0,5035
2016,4,16,14,2016-04-14,2,4,0,5037
2016,4,16,15,2016-04-15,2,5,0,5040
2016,4,16,16,2016-04-16,2,6,1,5047
2016,4,17,17,2016-04-17,2,7,1,5095
2016,4,17,18,2016-04-18,2,1,0,5102
2016,4,17,19,2016-04-19,2,2,0,5160
2016,4,17,20,2016-04-20,2,3,0,5192
2016,4,17,21,2016-04-21,2,4,0,5194
2016,4,17,22,2016-04-22,2,5,0,5205
2016,4,17,23,2016-04-23,2,6,1,5258
2016,4,18,24,2016-04-24,2,7,1,5281
2016,4,18,25,2016-04-25,2,1,0,5313
2016,4,18,26,2016-04-26,2,2,0,5347
2016,4,18,27,2016-04-27,2,3,0,5373
2016,4,18,28,2016-04-28,2,4,0,5387
2016,4,18,29,2016-04-29,2,5,0,5418
2016,4,18,30,2016-04-30,2,6,1,5482
2016,5,19,1,2016-05-01,2,7,1,5522
2016,5,19,2,2016-05-02,2,1,0,5531
2016,5,19,3,2016-05-03,2,2,0,5590
2016,5,19,4,2016-05-04,2,3,0,5600
2016,5,19,5,2016-05-05,2,4,0,5604
2016,5,19,6,2016-05-06,2,5,0,5617
2016,5,19,7,2016-05-07,2,6,1,5636
2016,5,20,8,2016-05-08,2,7,1,5650
2016,5,20,9,2016-05-09,2,1,0,5666
2016,5,20,10,2016-05-10,2,2,0,5677
2016,5,20,11,2016-05-11,2,3,0,5700
2016,5,20,12,2016-05-12,2,4,0,5705
2016,5,20,13,2016-05-13,2,5,0,5765
2016,5,20,14,2016-05-14,2,6,1,5781
2016,5,21,15,2016-05-15,2,7,1,5835
2016,5,21,16,2016-05-16,2,1,0,5873
2016,5,21,17,2016-05-17,2,2,0,5940
2016,5,21,18,2016-05-18,2,3,0,5960
2016,5,21,19,2016-05-19,2,4,0,5990
2016,5,21,20,2016-05-20,2,5,0,6007
2016,5,21,21,2016-05-21,2,6,1,6017
2016,5,22,22,2016-05-22,2,7,1,6040
2016,5,22,23,2016-05-23,2,1,0,6047
2016,5,22,24,2016-05-24,2,2,0,6059
2016,5,22,25,2016-05-25,2,3,0,6092
2016,5,22,26,2016-05-26,2,4,0,6115
2016,5,22,27,2016-05-27,2,5,0,6162
2016,5,22,28,2016-05-28,2,6,1,6191
2016,5,23,29,2016-05-29,2,7,1,6227
2016,5,23,30,2016-05-30,2,1,0,6235
2016,5,23,31,2016-05-31,2,2,0,6254
2016,6,23,1,2016-06-01,2,3,0,6276
2016,6,23,2,2016-06-02,2,4,0,6303
2016,6,23,3,2016-06-03,2,5,0,6311
2016,6,23,4,2016-06-04,2,6,1,6341
2016,6,24,5,2016-06-05,2,7,1,6356
2016,6,24,6,2016-06-06,2,1,0,6369
2016,6,24,7,2016-06-07,2,2,0,6384
2016,6,24,8,2016-06-08,2,3,0,6400
2016,6,24,9,2016-06-09,2,4,0,6410
2016,6,24,10,2016-06-10,2,5,0,6418
2016,6,24,11,2016-06-11,2,6,1,6433
2016,6,25,12,2016-06-12,2,7,1,6449
2016,6,25,13,2016-06-13,2,1,0,6489
2016,6,25,14,2016-06-14,2,2,0,6514
2016,6,25,15,2016-06-15,2,3,0,6524
2016,6,25,16,2016-06-16,2,4,0,6532
2016,6,25,17,2016-06-17,2,5,0,6543
2016,6,25,18,2016-06-18,2,6,1,6564
2016,6,26,19,2016-06-19,2,7,1,6587
2016,6,26,20,2016-06-20,2,1,0,6598
2016,6,26,21,2016-06-21,2,2,0,6618
2016,6,26,22,2016-06-22,2,3,0,6637
2016,6,26,23,2016-06-23,2,4,0,6674
2016,6,26,24,2016-06-24,2,5,0,6682
2016,6,26,25,2016-06-25,2,6,1,6692
2016,6,27,26,2016-06-26,2,7,1,6710
2016,6,27,27,2016-06-27,2,1,0,6724
2016,6,27,28,2016-06-28,2,2,0,6740
2016,6,27,29,2016-06-29,2,3,0,6754
2016,6,27,30,2016-06-30,2,4,0,6759
2016,7,27,1,2016-07-01,3,5,0,6766
2016,7,27,2,2016-07-02,3,6,1,6783
2016,7,28,3,2016-07-03,3,7,1,6807
2016,7,28,4,2016-07-04,3,1,0,6819
2016,7,28,5,2016-07-05,3,2,0,6837
2016,7,28,6,2016-07-06,3,3,0,6844
2016,7,28,7,2016-07-07,3,4,0,6851
2016,7,28,8,2016-07-08,3,5,0,6861
2016,7,28,9,2016-07-09,3,6,1,6882
2016,7,29,10,2016-07-10,3,7,1,6900
2016,7,29,11,2016-07-11,3,1,0,6909
2016,7,29,12,2016-07-12,3,2,0,6926
2016,7,29,13,2016-07-13,3,3,0,6947
2016,7,29,14,2016-07-14,3,4,0,6958
2016,7,29,15,2016-07-15,3,5,0,6973
2016,7,29,16,2016-07-16,3,6,1,6995
2016,7,30,17,2016-07-17,3,7,1,7027
2016,7,30,18,2016-07-18,3,1,0,7045
2016,7,30,19,2016-07-19,3,2,0,7071
2016,7,30,20,2016-07-20,3,3,0,7080
2016,7,30,21,2016-07-21,3,4,0,7092
2016,7,30,22,2016-07-22,3,5,0,7108
2016,7,30,23,2016-07-23,3,6,1,7125
2016,7,31,24,2016-07-24,3,7,1,7149
2016,7,31,25,2016-07-25,3,1,0,7166
2016,7,31,26,2016-07-26,3,2,0,7191
